"Ticket Subject","Ticket Description","Ticket Type"
"Double charged on subscription","I checked my credit card statement and saw two charges for $29.99 for this month's plan.","Billing"
"Refund request for accidental purchase","I accidentally upgraded my subscription tier yesterday. Can I get a full refund back to my card?","Billing"
"Invoice copy needed","Please send an itemized tax invoice for my annual business plan payment made last week.","Billing"
"Payment gateway keeps failing","Every time I enter my Mastercard details at checkout, the site gives a Payment Failed error.","Billing"
"Cancel my active account","I would like to cancel my recurring subscription immediately and stop all future billing.","Billing"
"Unrecognized charge on statement","There is a unknown fee of $15.00 from your company on my bank statement. What is this for?","Billing"
"Update payment billing address","My company changed locations and I need to update our credit card billing address on the file.","Billing"
"Promo code discount missing","I applied the promo code SUMMER20 during checkout, but the 20% discount was not applied.","Billing"
"Overcharged on monthly statement","My bill came out to $99 instead of the standard $49 rate I locked in during sign-up.","Billing"
"Receipt request for expense report","Where can I download receipts for my recent monthly payments to submit to accounting?","Billing"
"App crashes when clicking export","Whenever I try to export my report as a PDF, the desktop app freezes and shuts down.","Technical"
"Unable to connect to company VPN","The VPN connection client hangs on 'Authenticating' and fails to connect to the remote host.","Technical"
"500 Internal Server Error","Getting a HTTP 500 error page whenever I navigate to the analytics dashboard.","Technical"
"Password reset link not received","I clicked forget password twice today, but I still haven't received the email link in my inbox.","Technical"
"Bluetooth headset audio disconnected","My wireless headset suddenly stopped pairing with the desktop software after the last patch.","Technical"
"Database connection timeout","The web console shows a error connecting to database pool during peak traffic times.","Technical"
"Webcam not recognized on video call","The web portal says 'No camera found' even though my camera is plugged in and working elsewhere.","Technical"
"Software update stuck at 99%","The launcher gets stuck right at the end of installation and won't finish updating.","Technical"
"Slow load times on dashboard","Loading the main page takes upwards of 30 seconds since the system maintenance yesterday.","Technical"
"Login authentication failing","Getting invalid credentials error despite using the correct username and master password.","Technical"
"Questions about paid time off","How many floating PTO days am I entitled to roll over into the next calendar year?","HR"
"Update direct deposit bank information","I opened a new checking account and need to update my bank routing and account numbers for payroll.","HR"
"Health insurance enrollment period","When does the open enrollment window for medical and dental insurance benefits start?","HR"
"Submitting background check documents","Where should I securely upload my identification documents for the employment background screening?","HR"
"Requesting maternity leave paperwork","Could HR send me the official forms and policy details for parental leave planning?","HR"
"P60 and tax document request","I need my year-end tax summary statement sent to my personal email address.","HR"
"Employee referral bonus inquiry","When is the referral bonus paid out after my referred candidate completes probation?","HR"
"Questions about performance review","Who is assigned as my secondary reviewer for the upcoming Q3 appraisal cycle?","HR"
"Company tuition reimbursement program","Is there an official policy or application form for reimbursement on technical certification courses?","HR"
"Remote work policy clarification","Can you clarify the maximum number of consecutive days allowed for working remotely out of state?","HR"
"Office opening and closing hours","What time does the main reception area open for visitors on weekday mornings?","HR"
"Headquarters street address","Where can I find the exact physical address and visitor parking instructions for HQ?","General"
"Inquiry regarding enterprise pricing","Who should our team contact to get custom pricing for a 500+ seat enterprise plan?","General"
"Feedback on recent customer support","I want to leave positive feedback for the agent who assisted me with my setup yesterday.","General"
"Holiday schedule calendar","Where is the official company holiday schedule posted for the upcoming year?","General"
"Partnership and reseller inquiries","Our agency would like to discuss becoming a certified reseller of your software platform.","General"
"Lost and found in main office","I left a dark blue umbrella in the second-floor conference room yesterday afternoon.","General"
"Press and media contacts","Who is the media relations spokesperson for official press statement inquiries?","General"
"Request for product demo","Can someone from your sales team schedule a 30-minute live demo for our department?","General"
"General company contact email","Is there a direct email address to reach your corporate operations team?","General"
